Subject's age,Subject's gender,Subject's race,"Dispositions/Exclusions INTERNAL USE, NOT FOR ANALYSIS",Location of death (state),Cause of death,Date (Year),Age Range
10-20,Male,European-American/White,Unreported,CA,Vehicle,2000,17
20-30,Male,African-American/Black,Unreported,MI,Vehicle,2000,21
10-20,Male,African-American/Black,Unreported,MI,Vehicle,2000,19
20-30,Male,Hispanic/Latino,Unreported,NM,Vehicle,2000,23
20-30,Female,African-American/Black,Unknown,CA,Vehicle,2000,24
50-60,Male,Race unspecified,Criminal,GA,Gunshot,2000,53
30-40,Male,African-American/Black,Unreported,NC,Vehicle,2000,30
20-30,Male,African-American/Black,Unreported,NC,Vehicle,2000,29
50-60,Male,Race unspecified,Suicide,PA,Gunshot,2000,55
40-50,Female,Race unspecified,Criminal,MD,Vehicle,2000,42
40-50,Female,Race unspecified,Criminal,MD,Vehicle,2000,41
20-30,Male,Race unspecified,Justified,IL,Gunshot,2000,23
40-50,Male,African-American/Black,Justified,AL,Gunshot,2000,45
20-30,Male,African-American/Black,Accidental,GA,Beaten/Bludgeoned with instrument,2000,20
20-30,Male,Race unspecified,Unreported,TN,Vehicle,2000,25
20-30,Male,Race unspecified,Unreported,TN,Vehicle,2000,29
20-30,Male,European-American/White,Unreported,FL,Vehicle,2000,22
10-20,Male,European-American/White,Grand jury/No bill or Cleared,NE,Gunshot,2000,19
20-30,Male,Race unspecified,Unreported,NC,Gunshot,2000,23
30-40,Male,Race unspecified,Unreported,CA,Gunshot,2000,31
30-40,Male,Race unspecified,Unreported,MI,Gunshot,2000,36
20-30,Male,Race unspecified,Suicide,VA,Gunshot,2000,28
20-30,Male,Race unspecified,Suicide,OH,Gunshot,2000,28
20-30,Male,Race unspecified,Unreported,CA,Beaten/Bludgeoned with instrument,2000,28
30-40,Male,European-American/White,Cleared,VA,Gunshot,2000,35
30-40,Male,European-American/White,Suicide,VA,Gunshot,2000,36
30-40,Female,Race unspecified,Murder/suicide,VA,Gunshot,2000,35
Unknown,Male,Race unspecified,Unreported,GA,Gunshot,2000,0
20-30,Male,Race unspecified,Unreported,UT,Vehicle,2000,20
20-30,Male,Race unspecified,Unreported,CA,Gunshot,2000,24
20-30,Male,European-American/White,Unreported,SC,Vehicle,2000,25
20-30,Male,African-American/Black,Justified,PA,Gunshot,2000,26
40-50,Male,Race unspecified,Justified,PA,Gunshot,2000,41
